周边ID,正式商品名,展示方式,图片来源域名,图片来源,审计结果,核验依据
KR-MER-0055,鬼龍紅郎(新ビジュアル) アクリルスタンド[紅月] 「あんさんぶるスターズ!!」,官方/样品直链,pattythree-shop-product.jp,pattythree公式鬼龍紅郎角色商品图＋駿河屋精确商品档案,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0056,鬼龍紅郎 アクリルスタンド -Superbloom- ＜Day.1＞ 「あんさんぶるスターズ!! Cast Live Starry Symphony 4th -Superbloom-」,官方/样品直链,pattythree-shop-product.jp,pattythree官方鬼龍紅郎商品CG,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0105,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Vol.3 Private」,本地,pattythree-shop-product.jp,pattythree官方阵容图裁切,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0116,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ES 10th Anniversary」,本地,pattythree-shop-product.jp,pattythree官方阵容图裁切＋二级实物交叉验真,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0121,鬼龍紅郎 ななめ/アクスタ vol.1 「あんさんぶるスターズ!!」,本地,tc-animate.techorus-cdn.com,Animate鬼龍紅郎精确角色商品官方主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0238,鬼龍紅郎 アクリルスタンド 「あんさんぶるスターズ!」 夢ノ咲学院購買部限定,本地,a-onstore.jp,A-on STORE官方角色商品图＋駿河屋角色商品档案,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0358,鬼龍紅郎 カスタムアイドル チャーム ミニキャラ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,官方/样品直链,pattythree-shop-product.jp,pattythree官方鬼龍紅郎商品CG＋駿河屋角色档案,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0384,鬼龍紅郎 フレフレスケルトンうちわDX 「あんさんぶるスターズ!!」,本地,img.amiami.jp,AmiAmi/amie鬼龍紅郎独立官方商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0385,鬼龍紅郎 フレフレスケルトンうちわDX～ブラック☆ラメ～ 「あんさんぶるスターズ!!」,本地,img.amiami.jp,AmiAmi/amie鬼龍紅郎独立官方商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0388,鬼龍紅郎 クリアポーチ 「あんさんぶるスターズ!!」,官方/样品直链,www.enskyshop.com,エンスカイショップ鬼龍紅郎官方商品CG,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
